S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,Negative,Ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,"['ive', 'had', 'this', 'bluetoooth', 'headset', 'for', 'some', 'time', 'now', 'and', 'still', 'not', 'comfortable', 'with', 'the', 'way', 'it', 'fits', 'on', 'the', 'ear']","['ive', 'bluetoooth', 'headset', 'time', 'still', 'comfortable', 'way', 'fits', 'ear']"
182,The sound quality is good and functionality is awesome.,Positive,The sound quality is good and functionality is awesome,"['the', 'sound', 'quality', 'is', 'good', 'and', 'functionality', 'is', 'awesome']","['sound', 'quality', 'good', 'functionality', 'awesome']"
183,"I have this phone and it is a thorn in my side, I really abhor it.",Negative,I have this phone and it is a thorn in my side I really abhor it,"['i', 'have', 'this', 'phone', 'and', 'it', 'is', 'a', 'thorn', 'in', 'my', 'side', 'i', 'really', 'abhor', 'it']","['phone', 'thorn', 'side', 'really', 'abhor']"
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,Negative,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected,"['i', 'recently', 'had', 'problems', 'where', 'i', 'could', 'not', 'stay', 'connected', 'for', 'more', 'than', '10', 'minutes', 'before', 'being', 'disconnected']","['recently', 'problems', 'could', 'stay', 'connected', '10', 'minutes', 'disconnected']"
185,Incredible!.,Positive,Incredible,['incredible'],['incredible']
186,Design Flaw?.,Negative,Design Flaw,"['design', 'flaw']","['design', 'flaw']"
187,Great phone!.,Positive,Great phone,"['great', 'phone']","['great', 'phone']"
188,Waste of 13 bucks.,Negative,Waste of 13 bucks,"['waste', 'of', '13', 'bucks']","['waste', '13', 'bucks']"
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",Negative,But when I check voice mail at night the keypad backlight turns off a few seconds into the first message and then Im lost,"['but', 'when', 'i', 'check', 'voice', 'mail', 'at', 'night', 'the', 'keypad', 'backlight', 'turns', 'off', 'a', 'few', 'seconds', 'into', 'the', 'first', 'message', 'and', 'then', 'im', 'lost']","['check', 'voice', 'mail', 'night', 'keypad', 'backlight', 'turns', 'seconds', 'first', 'message', 'im', 'lost']"
190,The replacement died in a few weeks.,Negative,The replacement died in a few weeks,"['the', 'replacement', 'died', 'in', 'a', 'few', 'weeks']","['replacement', 'died', 'weeks']"
191,Any ring tone..Overall good phone to buy..,Positive,Any ring toneOverall good phone to buy,"['any', 'ring', 'toneoverall', 'good', 'phone', 'to', 'buy']","['ring', 'toneoverall', 'good', 'phone', 'buy']"
192,Lately they have been extremely nice and helpful on the phone.,Positive,Lately they have been extremely nice and helpful on the phone,"['lately', 'they', 'have', 'been', 'extremely', 'nice', 'and', 'helpful', 'on', 'the', 'phone']","['lately', 'extremely', 'nice', 'helpful', 'phone']"
193,I have had problems wit hit dropping signal and more.,Negative,I have had problems wit hit dropping signal and more,"['i', 'have', 'had', 'problems', 'wit', 'hit', 'dropping', 'signal', 'and', 'more']","['problems', 'wit', 'hit', 'dropping', 'signal']"
194,Not impressed.,Negative,Not impressed,"['not', 'impressed']",['impressed']
195,"Light weight, I hardly notice it is there.",Positive,Light weight I hardly notice it is there,"['light', 'weight', 'i', 'hardly', 'notice', 'it', 'is', 'there']","['light', 'weight', 'hardly', 'notice']"
196,You'll love how thin it is.,Positive,Youll love how thin it is,"['youll', 'love', 'how', 'thin', 'it', 'is']","['youll', 'love', 'thin']"
197,Bad Choice.,Negative,Bad Choice,"['bad', 'choice']","['bad', 'choice']"
198,The pleather case doesn't fit.,Negative,The pleather case doesnt fit,"['the', 'pleather', 'case', 'doesnt', 'fit']","['pleather', 'case', 'doesnt', 'fit']"
199,"useless phone, simply deaf.",Negative,useless phone simply deaf,"['useless', 'phone', 'simply', 'deaf']","['useless', 'phone', 'simply', 'deaf']"
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",Positive,The color is even prettier than I thought it would be and the graphics are incredibly sharp,"['the', 'color', 'is', 'even', 'prettier', 'than', 'i', 'thought', 'it', 'would', 'be', 'and', 'the', 'graphics', 'are', 'incredibly', 'sharp']","['color', 'even', 'prettier', 'thought', 'would', 'graphics', 'incredibly', 'sharp']"
201,All in all I think it was a good investment.,Positive,All in all I think it was a good investment,"['all', 'in', 'all', 'i', 'think', 'it', 'was', 'a', 'good', 'investment']","['think', 'good', 'investment']"
202,It makes very strange ticking noises before it ends the call.,Negative,It makes very strange ticking noises before it ends the call,"['it', 'makes', 'very', 'strange', 'ticking', 'noises', 'before', 'it', 'ends', 'the', 'call']","['makes', 'strange', 'ticking', 'noises', 'ends', 'call']"
203,The best electronics of the available FM Transmitters.,Positive,The best electronics of the available FM Transmitters,"['the', 'best', 'electronics', 'of', 'the', 'available', 'fm', 'transmitters']","['best', 'electronics', 'available', 'fm', 'transmitters']"
204,Battery lasts only a few hours.,Negative,Battery lasts only a few hours,"['battery', 'lasts', 'only', 'a', 'few', 'hours']","['battery', 'lasts', 'hours']"
205,"great headset, very impressed - H500.",Positive,great headset very impressed  H500,"['great', 'headset', 'very', 'impressed', 'h500']","['great', 'headset', 'impressed', 'h500']"
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",Positive,The 12 mega pixel camera being a part of a phone is reasonably good7,"['the', '12', 'mega', 'pixel', 'camera', 'being', 'a', 'part', 'of', 'a', 'phone', 'is', 'reasonably', 'good7']","['12', 'mega', 'pixel', 'camera', 'part', 'phone', 'reasonably', 'good7']"
207,I've had this for nearly 2 years and it has worked great for me.,Positive,Ive had this for nearly 2 years and it has worked great for me,"['ive', 'had', 'this', 'for', 'nearly', '2', 'years', 'and', 'it', 'has', 'worked', 'great', 'for', 'me']","['ive', 'nearly', '2', 'years', 'worked', 'great']"
208,Good transmit audio.,Positive,Good transmit audio,"['good', 'transmit', 'audio']","['good', 'transmit', 'audio']"
209,We are sending it back.,Negative,We are sending it back,"['we', 'are', 'sending', 'it', 'back']","['sending', 'back']"
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,Negative,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway,"['i', 'did', 'not', 'bother', 'contacting', 'the', 'company', 'for', 'few', 'dollar', 'product', 'but', 'i', 'learned', 'the', 'lesson', 'that', 'i', 'should', 'not', 'have', 'bought', 'this', 'form', 'online', 'anyway']","['bother', 'contacting', 'company', 'dollar', 'product', 'learned', 'lesson', 'bought', 'form', 'online', 'anyway']"
211,"If you hate earbugs, avoid this phone by all means.",Negative,If you hate earbugs avoid this phone by all means,"['if', 'you', 'hate', 'earbugs', 'avoid', 'this', 'phone', 'by', 'all', 'means']","['hate', 'earbugs', 'avoid', 'phone', 'means']"
212,Great price also!,Positive,Great price also,"['great', 'price', 'also']","['great', 'price', 'also']"
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",Positive,The range is very decent Ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,"['the', 'range', 'is', 'very', 'decent', 'ive', 'been', 'able', 'to', 'roam', 'around', 'my', 'house', 'with', 'the', 'phone', 'in', 'the', 'living', 'room', 'with', 'no', 'receptionsound', 'quality', 'issues']","['range', 'decent', 'ive', 'able', 'roam', 'around', 'house', 'phone', 'living', 'room', 'receptionsound', 'quality', 'issues']"
214,fast service.,Positive,fast service,"['fast', 'service']","['fast', 'service']"
215,I would highly recommend this.,Positive,I would highly recommend this,"['i', 'would', 'highly', 'recommend', 'this']","['would', 'highly', 'recommend']"
216,I would recommend this.,Positive,I would recommend this,"['i', 'would', 'recommend', 'this']","['would', 'recommend']"
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",Negative,I also didnt like the on button it felt like it would crack with use,"['i', 'also', 'didnt', 'like', 'the', 'on', 'button', 'it', 'felt', 'like', 'it', 'would', 'crack', 'with', 'use']","['also', 'didnt', 'like', 'button', 'felt', 'like', 'would', 'crack', 'use']"
218,WORST PHONE EVER.,Negative,WORST PHONE EVER,"['worst', 'phone', 'ever']","['worst', 'phone', 'ever']"
219,I'm still infatuated with this phone.,Positive,Im still infatuated with this phone,"['im', 'still', 'infatuated', 'with', 'this', 'phone']","['im', 'still', 'infatuated', 'phone']"
220,Freezes frequently4.,Negative,Freezes frequently4,"['freezes', 'frequently4']","['freezes', 'frequently4']"
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,Negative,Its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,"['its', 'kind', 'of', 'embarrassing', 'to', 'use', 'because', 'of', 'how', 'it', 'looks', 'and', 'mostly', 'its', 'embarrassing', 'how', 'childlike', 'the', 'company', 'is']","['kind', 'embarrassing', 'use', 'looks', 'mostly', 'embarrassing', 'childlike', 'company']"
222,"Simple, lightweight and great fit.",Positive,Simple lightweight and great fit,"['simple', 'lightweight', 'and', 'great', 'fit']","['simple', 'lightweight', 'great', 'fit']"
223,"All in all, I'd expected a better consumer experience from Motorola.",Negative,All in all Id expected a better consumer experience from Motorola,"['all', 'in', 'all', 'id', 'expected', 'a', 'better', 'consumer', 'experience', 'from', 'motorola']","['id', 'expected', 'better', 'consumer', 'experience', 'motorola']"
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,Negative,Theres a horrible tick sound in the background on all my calls that I have never experienced before,"['theres', 'a', 'horrible', 'tick', 'sound', 'in', 'the', 'background', 'on', 'all', 'my', 'calls', 'that', 'i', 'have', 'never', 'experienced', 'before']","['theres', 'horrible', 'tick', 'sound', 'background', 'calls', 'never', 'experienced']"
225,These are certainly very comfortable and functionality is decent.,Positive,These are certainly very comfortable and functionality is decent,"['these', 'are', 'certainly', 'very', 'comfortable', 'and', 'functionality', 'is', 'decent']","['certainly', 'comfortable', 'functionality', 'decent']"
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,Positive,I usually dont like headbands but this one is very lightweight  doesnt mess up my hair,"['i', 'usually', 'dont', 'like', 'headbands', 'but', 'this', 'one', 'is', 'very', 'lightweight', 'doesnt', 'mess', 'up', 'my', 'hair']","['usually', 'dont', 'like', 'headbands', 'one', 'lightweight', 'doesnt', 'mess', 'hair']"
227,I'm a bit disappointed.,Negative,Im a bit disappointed,"['im', 'a', 'bit', 'disappointed']","['im', 'bit', 'disappointed']"
228,"I have had this phone for over a year now, and I will tell you, its not that great.",Negative,I have had this phone for over a year now and I will tell you its not that great,"['i', 'have', 'had', 'this', 'phone', 'for', 'over', 'a', 'year', 'now', 'and', 'i', 'will', 'tell', 'you', 'its', 'not', 'that', 'great']","['phone', 'year', 'tell', 'great']"
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,Negative,I ordered this for sony Ericsson W810i but I think it only worked once thats when I first used it,"['i', 'ordered', 'this', 'for', 'sony', 'ericsson', 'w810i', 'but', 'i', 'think', 'it', 'only', 'worked', 'once', 'thats', 'when', 'i', 'first', 'used', 'it']","['ordered', 'sony', 'ericsson', 'w810i', 'think', 'worked', 'thats', 'first', 'used']"
230,The battery is completely useless to me.,Negative,The battery is completely useless to me,"['the', 'battery', 'is', 'completely', 'useless', 'to', 'me']","['battery', 'completely', 'useless']"
231,What a big waste of time.,Negative,What a big waste of time,"['what', 'a', 'big', 'waste', 'of', 'time']","['big', 'waste', 'time']"
232,Don't waste your $$$ on this one.,Negative,Dont waste your  on this one,"['dont', 'waste', 'your', 'on', 'this', 'one']","['dont', 'waste', 'one']"
233,Great sound and service.,Positive,Great sound and service,"['great', 'sound', 'and', 'service']","['great', 'sound', 'service']"
234,Really pleased with this product so far.,Positive,Really pleased with this product so far,"['really', 'pleased', 'with', 'this', 'product', 'so', 'far']","['really', 'pleased', 'product', 'far']"
235,One of my favorite purchases ever.,Positive,One of my favorite purchases ever,"['one', 'of', 'my', 'favorite', 'purchases', 'ever']","['one', 'favorite', 'purchases', 'ever']"
236,best bluetooth on the market.,Positive,best bluetooth on the market,"['best', 'bluetooth', 'on', 'the', 'market']","['best', 'bluetooth', 'market']"
237,Authentic leather with nice shine and comfort .I recommend you this case !!,Positive,Authentic leather with nice shine and comfort I recommend you this case ,"['authentic', 'leather', 'with', 'nice', 'shine', 'and', 'comfort', 'i', 'recommend', 'you', 'this', 'case']","['authentic', 'leather', 'nice', 'shine', 'comfort', 'recommend', 'case']"
238,I was very excited to get this headset because I thought it was really cute.,Positive,I was very excited to get this headset because I thought it was really cute,"['i', 'was', 'very', 'excited', 'to', 'get', 'this', 'headset', 'because', 'i', 'thought', 'it', 'was', 'really', 'cute']","['excited', 'get', 'headset', 'thought', 'really', 'cute']"
239,Do not make the same mistake as me.,Negative,Do not make the same mistake as me,"['do', 'not', 'make', 'the', 'same', 'mistake', 'as', 'me']","['make', 'mistake']"
240,Big Disappointment with calendar sync.,Negative,Big Disappointment with calendar sync,"['big', 'disappointment', 'with', 'calendar', 'sync']","['big', 'disappointment', 'calendar', 'sync']"
241,the phone was unusable and was not new.,Negative,the phone was unusable and was not new,"['the', 'phone', 'was', 'unusable', 'and', 'was', 'not', 'new']","['phone', 'unusable', 'new']"
242,Worst Customer Service Ever.,Negative,Worst Customer Service Ever,"['worst', 'customer', 'service', 'ever']","['worst', 'customer', 'service', 'ever']"
243,"No additional ear gels provided, and no instructions whatsoever.",Negative,No additional ear gels provided and no instructions whatsoever,"['no', 'additional', 'ear', 'gels', 'provided', 'and', 'no', 'instructions', 'whatsoever']","['additional', 'ear', 'gels', 'provided', 'instructions', 'whatsoever']"
244,It defeats the purpose of a bluetooth headset.,Negative,It defeats the purpose of a bluetooth headset,"['it', 'defeats', 'the', 'purpose', 'of', 'a', 'bluetooth', 'headset']","['defeats', 'purpose', 'bluetooth', 'headset']"
245,Worth every penny.,Positive,Worth every penny,"['worth', 'every', 'penny']","['worth', 'every', 'penny']"
246,Excellent wallet type phone case.,Positive,Excellent wallet type phone case,"['excellent', 'wallet', 'type', 'phone', 'case']","['excellent', 'wallet', 'type', 'phone', 'case']"
247,Nice headphones for the price and they work great!,Positive,Nice headphones for the price and they work great,"['nice', 'headphones', 'for', 'the', 'price', 'and', 'they', 'work', 'great']","['nice', 'headphones', 'price', 'work', 'great']"
248,Internet is excrutiatingly slow.,Negative,Internet is excrutiatingly slow,"['internet', 'is', 'excrutiatingly', 'slow']","['internet', 'excrutiatingly', 'slow']"
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",Positive,It is very comfortable to wear as well which is probably the most important aspect about using a case,"['it', 'is', 'very', 'comfortable', 'to', 'wear', 'as', 'well', 'which', 'is', 'probably', 'the', 'most', 'important', 'aspect', 'about', 'using', 'a', 'case']","['comfortable', 'wear', 'well', 'probably', 'important', 'aspect', 'using', 'case']"
250,"It's fits like a glove and is strong, secure, and durable.",Positive,Its fits like a glove and is strong secure and durable,"['its', 'fits', 'like', 'a', 'glove', 'and', 'is', 'strong', 'secure', 'and', 'durable']","['fits', 'like', 'glove', 'strong', 'secure', 'durable']"
251,O my gosh the best phone I have ever had.,Positive,O my gosh the best phone I have ever had,"['o', 'my', 'gosh', 'the', 'best', 'phone', 'i', 'have', 'ever', 'had']","['gosh', 'best', 'phone', 'ever']"
252,It's very attractive and appears to be of good quality.,Positive,Its very attractive and appears to be of good quality,"['its', 'very', 'attractive', 'and', 'appears', 'to', 'be', 'of', 'good', 'quality']","['attractive', 'appears', 'good', 'quality']"
253,I love all the features and form factor.,Positive,I love all the features and form factor,"['i', 'love', 'all', 'the', 'features', 'and', 'form', 'factor']","['love', 'features', 'form', 'factor']"
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,Negative,This product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,"['this', 'product', 'had', 'a', 'strong', 'rubberpetroleum', 'smell', 'that', 'was', 'unbearable', 'after', 'a', 'while', 'and', 'caused', 'me', 'to', 'return', 'it']","['product', 'strong', 'rubberpetroleum', 'smell', 'unbearable', 'caused', 'return']"
255,poor quality and service.,Negative,poor quality and service,"['poor', 'quality', 'and', 'service']","['poor', 'quality', 'service']"
256,"The cable looks so thin and flimsy, it is scary.",Negative,The cable looks so thin and flimsy it is scary,"['the', 'cable', 'looks', 'so', 'thin', 'and', 'flimsy', 'it', 'is', 'scary']","['cable', 'looks', 'thin', 'flimsy', 'scary']"
257,Great Earpiece.,Positive,Great Earpiece,"['great', 'earpiece']","['great', 'earpiece']"
258,Excellent hands free tool.,Positive,Excellent hands free tool,"['excellent', 'hands', 'free', 'tool']","['excellent', 'hands', 'free', 'tool']"
259,Great for using with your home stereo.,Positive,Great for using with your home stereo,"['great', 'for', 'using', 'with', 'your', 'home', 'stereo']","['great', 'using', 'home', 'stereo']"
260,Good product - incredible value.,Positive,Good product  incredible value,"['good', 'product', 'incredible', 'value']","['good', 'product', 'incredible', 'value']"
261,Only had this a month but it's worked flawlessly so far.,Positive,Only had this a month but its worked flawlessly so far,"['only', 'had', 'this', 'a', 'month', 'but', 'its', 'worked', 'flawlessly', 'so', 'far']","['month', 'worked', 'flawlessly', 'far']"
262,Works great.,Positive,Works great,"['works', 'great']","['works', 'great']"
263,Absolutel junk.,Negative,Absolutel junk,"['absolutel', 'junk']","['absolutel', 'junk']"
264,THAT one didn't work either.,Negative,THAT one didnt work either,"['that', 'one', 'didnt', 'work', 'either']","['one', 'didnt', 'work', 'either']"
265,Battery life is real good.,Positive,Battery life is real good,"['battery', 'life', 'is', 'real', 'good']","['battery', 'life', 'real', 'good']"
266,Returned 8 hours later.,Negative,Returned 8 hours later,"['returned', '8', 'hours', 'later']","['returned', '8', 'hours', 'later']"
267,It's a great item.,Positive,Its a great item,"['its', 'a', 'great', 'item']","['great', 'item']"
268,Don't waste your money!.,Negative,Dont waste your money,"['dont', 'waste', 'your', 'money']","['dont', 'waste', 'money']"
269,Love this headset!,Positive,Love this headset,"['love', 'this', 'headset']","['love', 'headset']"
270,"Not only will it drain your player, but may also potentially fry it.",Negative,Not only will it drain your player but may also potentially fry it,"['not', 'only', 'will', 'it', 'drain', 'your', 'player', 'but', 'may', 'also', 'potentially', 'fry', 'it']","['drain', 'player', 'may', 'also', 'potentially', 'fry']"
271,Worked perfectly!,Positive,Worked perfectly,"['worked', 'perfectly']","['worked', 'perfectly']"
272,Unreliable - I'm giving up.,Negative,Unreliable  Im giving up,"['unreliable', 'im', 'giving', 'up']","['unreliable', 'im', 'giving']"
273,I gave it 5 stars because of the sound quality.,Positive,I gave it 5 stars because of the sound quality,"['i', 'gave', 'it', '5', 'stars', 'because', 'of', 'the', 'sound', 'quality']","['gave', '5', 'stars', 'sound', 'quality']"
274,Avoid this one if you can.,Negative,Avoid this one if you can,"['avoid', 'this', 'one', 'if', 'you', 'can']","['avoid', 'one']"
275,Reversible plug works great.,Positive,Reversible plug works great,"['reversible', 'plug', 'works', 'great']","['reversible', 'plug', 'works', 'great']"
276,I wasted my little money with this earpiece.,Negative,I wasted my little money with this earpiece,"['i', 'wasted', 'my', 'little', 'money', 'with', 'this', 'earpiece']","['wasted', 'little', 'money', 'earpiece']"
277,Very good phone.,Positive,Very good phone,"['very', 'good', 'phone']","['good', 'phone']"
278,"Best of all is the rotating feature, very helpful.",Positive,Best of all is the rotating feature very helpful,"['best', 'of', 'all', 'is', 'the', 'rotating', 'feature', 'very', 'helpful']","['best', 'rotating', 'feature', 'helpful']"
279,Comfort for our whole family.,Positive,Comfort for our whole family,"['comfort', 'for', 'our', 'whole', 'family']","['comfort', 'whole', 'family']"
280,"Good product, good seller.",Positive,Good product good seller,"['good', 'product', 'good', 'seller']","['good', 'product', 'good', 'seller']"
281,I love this bluetooth!,Positive,I love this bluetooth,"['i', 'love', 'this', 'bluetooth']","['love', 'bluetooth']"
282,"First of all, it doesn't wear well.",Negative,First of all it doesnt wear well,"['first', 'of', 'all', 'it', 'doesnt', 'wear', 'well']","['first', 'doesnt', 'wear', 'well']"
283,I am very impressed with this headset from Plantronics.,Positive,I am very impressed with this headset from Plantronics,"['i', 'am', 'very', 'impressed', 'with', 'this', 'headset', 'from', 'plantronics']","['impressed', 'headset', 'plantronics']"
284,I got it because it was so small and adorable.,Positive,I got it because it was so small and adorable,"['i', 'got', 'it', 'because', 'it', 'was', 'so', 'small', 'and', 'adorable']","['got', 'small', 'adorable']"
285,Great phone!.,Positive,Great phone,"['great', 'phone']","['great', 'phone']"
286,I wouldn't recommend buying this product.,Negative,I wouldnt recommend buying this product,"['i', 'wouldnt', 'recommend', 'buying', 'this', 'product']","['wouldnt', 'recommend', 'buying', 'product']"
287,Piece of Junk.,Negative,Piece of Junk,"['piece', 'of', 'junk']","['piece', 'junk']"
288,Poorly contstruct hinge.,Negative,Poorly contstruct hinge,"['poorly', 'contstruct', 'hinge']","['poorly', 'contstruct', 'hinge']"
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",Positive,This item is great installed it let it charged up overnite and it has been working good every since with no problems,"['this', 'item', 'is', 'great', 'installed', 'it', 'let', 'it', 'charged', 'up', 'overnite', 'and', 'it', 'has', 'been', 'working', 'good', 'every', 'since', 'with', 'no', 'problems']","['item', 'great', 'installed', 'let', 'charged', 'overnite', 'working', 'good', 'every', 'since', 'problems']"
290,Great Phone.,Positive,Great Phone,"['great', 'phone']","['great', 'phone']"
291,Don't buy it.,Negative,Dont buy it,"['dont', 'buy', 'it']","['dont', 'buy']"
292,Excellent Phone.,Positive,Excellent Phone,"['excellent', 'phone']","['excellent', 'phone']"
293,DO NOT PURCHASE THIS PHONE.,Negative,DO NOT PURCHASE THIS PHONE,"['do', 'not', 'purchase', 'this', 'phone']","['purchase', 'phone']"
294,The voice recognition thru the handset is excellent.,Positive,The voice recognition thru the handset is excellent,"['the', 'voice', 'recognition', 'thru', 'the', 'handset', 'is', 'excellent']","['voice', 'recognition', 'thru', 'handset', 'excellent']"
295,This is hands down the best phone I've ever had.,Positive,This is hands down the best phone Ive ever had,"['this', 'is', 'hands', 'down', 'the', 'best', 'phone', 'ive', 'ever', 'had']","['hands', 'best', 'phone', 'ive', 'ever']"
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",Positive,Works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,"['works', 'great', 'when', 'my', 'cat', 'attacked', 'the', 'phone', 'he', 'scratched', 'the', 'protective', 'strip', 'instead', 'of', 'destroying', 'the', 'screen']","['works', 'great', 'cat', 'attacked', 'phone', 'scratched', 'protective', 'strip', 'instead', 'destroying', 'screen']"
297,This one works and was priced right.,Positive,This one works and was priced right,"['this', 'one', 'works', 'and', 'was', 'priced', 'right']","['one', 'works', 'priced', 'right']"
298,Customer service was terrible.,Negative,Customer service was terrible,"['customer', 'service', 'was', 'terrible']","['customer', 'service', 'terrible']"
299,Battery life still not long enough in Motorola Razor V3i.,Negative,Battery life still not long enough in Motorola Razor V3i,"['battery', 'life', 'still', 'not', 'long', 'enough', 'in', 'motorola', 'razor', 'v3i']","['battery', 'life', 'still', 'long', 'enough', 'motorola', 'razor', 'v3i']"
300,Sending it back.,Negative,Sending it back,"['sending', 'it', 'back']","['sending', 'back']"
301,Now I know that I made a wise decision.,Positive,Now I know that I made a wise decision,"['now', 'i', 'know', 'that', 'i', 'made', 'a', 'wise', 'decision']","['know', 'made', 'wise', 'decision']"
302,Someone shouldve invented this sooner.,Positive,Someone shouldve invented this sooner,"['someone', 'shouldve', 'invented', 'this', 'sooner']","['someone', 'shouldve', 'invented', 'sooner']"
303,Good price.,Positive,Good price,"['good', 'price']","['good', 'price']"
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,Positive,Everything worked on the first tryThe device was certainly engineered in a clever way and the construction feels good,"['everything', 'worked', 'on', 'the', 'first', 'trythe', 'device', 'was', 'certainly', 'engineered', 'in', 'a', 'clever', 'way', 'and', 'the', 'construction', 'feels', 'good']","['everything', 'worked', 'first', 'trythe', 'device', 'certainly', 'engineered', 'clever', 'way', 'construction', 'feels', 'good']"
305,I received it quickly and it works great!!,Positive,I received it quickly and it works great,"['i', 'received', 'it', 'quickly', 'and', 'it', 'works', 'great']","['received', 'quickly', 'works', 'great']"
306,Has been working great.,Positive,Has been working great,"['has', 'been', 'working', 'great']","['working', 'great']"
307,"As many people complained, I found this headset's microphone was very weak.",Negative,As many people complained I found this headsets microphone was very weak,"['as', 'many', 'people', 'complained', 'i', 'found', 'this', 'headsets', 'microphone', 'was', 'very', 'weak']","['many', 'people', 'complained', 'found', 'headsets', 'microphone', 'weak']"
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,Negative,My 5year old Nokia 2160 from Tracfone holds the charge a lot better than this,"['my', '5year', 'old', 'nokia', '2160', 'from', 'tracfone', 'holds', 'the', 'charge', 'a', 'lot', 'better', 'than', 'this']","['5year', 'old', 'nokia', '2160', 'tracfone', 'holds', 'charge', 'lot', 'better']"
309,They do not care about the consumer one bit.,Negative,They do not care about the consumer one bit,"['they', 'do', 'not', 'care', 'about', 'the', 'consumer', 'one', 'bit']","['care', 'consumer', 'one', 'bit']"
310,"This is a good battery, and it got here really fast.",Positive,This is a good battery and it got here really fast,"['this', 'is', 'a', 'good', 'battery', 'and', 'it', 'got', 'here', 'really', 'fast']","['good', 'battery', 'got', 'really', 'fast']"
311,The instruction manual is lacking.,Negative,The instruction manual is lacking,"['the', 'instruction', 'manual', 'is', 'lacking']","['instruction', 'manual', 'lacking']"
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,Positive,Also its slim enough to fit into my alarm clock docking station without removing the case,"['also', 'its', 'slim', 'enough', 'to', 'fit', 'into', 'my', 'alarm', 'clock', 'docking', 'station', 'without', 'removing', 'the', 'case']","['also', 'slim', 'enough', 'fit', 'alarm', 'clock', 'docking', 'station', 'without', 'removing', 'case']"
313,Phone now holds charge like it did when it was new.,Positive,Phone now holds charge like it did when it was new,"['phone', 'now', 'holds', 'charge', 'like', 'it', 'did', 'when', 'it', 'was', 'new']","['phone', 'holds', 'charge', 'like', 'new']"
314,The battery is unreliable as well as the service use antena.,Negative,The battery is unreliable as well as the service use antena,"['the', 'battery', 'is', 'unreliable', 'as', 'well', 'as', 'the', 'service', 'use', 'antena']","['battery', 'unreliable', 'well', 'service', 'use', 'antena']"
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,Negative,Its uncomfortable and the sound quality is quite poor compared with the phone Razr or with my previous wired headset that plugged into an LG,"['its', 'uncomfortable', 'and', 'the', 'sound', 'quality', 'is', 'quite', 'poor', 'compared', 'with', 'the', 'phone', 'razr', 'or', 'with', 'my', 'previous', 'wired', 'headset', 'that', 'plugged', 'into', 'an', 'lg']","['uncomfortable', 'sound', 'quality', 'quite', 'poor', 'compared', 'phone', 'razr', 'previous', 'wired', 'headset', 'plugged', 'lg']"
316,We have gotten a lot of compliments on it.,Positive,We have gotten a lot of compliments on it,"['we', 'have', 'gotten', 'a', 'lot', 'of', 'compliments', 'on', 'it']","['gotten', 'lot', 'compliments']"
317,This is definitely a must have if your state does not allow cell phone usage while driving.,Positive,This is definitely a must have if your state does not allow cell phone usage while driving,"['this', 'is', 'definitely', 'a', 'must', 'have', 'if', 'your', 'state', 'does', 'not', 'allow', 'cell', 'phone', 'usage', 'while', 'driving']","['definitely', 'must', 'state', 'allow', 'cell', 'phone', 'usage', 'driving']"
318,I want my money back.,Negative,I want my money back,"['i', 'want', 'my', 'money', 'back']","['want', 'money', 'back']"
319,I love this device.,Positive,I love this device,"['i', 'love', 'this', 'device']","['love', 'device']"
320,I am also very happy with the price.,Positive,I am also very happy with the price,"['i', 'am', 'also', 'very', 'happy', 'with', 'the', 'price']","['also', 'happy', 'price']"
